Date,Description,Debit,Credit,Balance
2016-07-26,VENMO PAYMENT,133.73,,8366.27
2016-07-28,UBER TRIP,32.50,,8333.77
2016-07-29,EZ PASS TOLL,46.89,,8286.88
2016-07-31,STARBUCKS STORE,50.04,,8236.84
2016-07-31,AMAZON MKTP,60.54,,8176.30
2016-08-02,ACH CREDIT EMPLOYER PAYROLL,,5261.87,13438.17
2016-08-03,BILL PAY RENT LANDLORD,1342.34,,12095.83
2016-08-05,SHELL OIL,7.25,,12088.58
2016-08-07,LOCAL BISTRO,24.01,,12064.57
2016-08-08,ALDI 729,118.16,,11946.41
2016-08-08,PIZZA HUT,33.63,,11912.78
2016-08-09,CHEVRON,64.42,,11848.36
2016-08-09,PARKING GARAGE,20.04,,11828.32
2016-08-10,NETFLIX.COM,43.44,,11784.88
2016-08-11,WALMART SUPERCENTER,134.44,,11650.44
2016-08-11,ZELLE TO FRIEND,84.84,,11565.60
2016-08-13,KROGER #1190,133.23,,11432.37
2016-08-13,WALMART SUPERCENTER,112.27,,11320.10
2016-08-15,IKEA,140.08,,11180.02
2016-08-16,ELECTRIC COMPANY,39.41,,11140.61
2016-08-16,TRADER JOE'S,38.15,,11102.46
2016-08-17,PIZZA HUT,53.64,,11048.82
2016-08-17,PIZZA HUT,38.81,,11010.01
2016-08-17,SHELL OIL,34.22,,10975.79
2016-08-17,UBER TRIP,46.21,,10929.58
2016-08-17,STEAM GAMES,63.45,,10866.13
2016-08-17,HOTEL BOOKING,846.32,,10019.81
2016-08-18,ZELLE FROM CLIENT,,954.31,10974.12
2016-08-18,METRO TRANSIT,13.90,,10960.22
2016-08-19,CHEVRON,7.08,,10953.14
2016-08-20,AMAZON MKTP,216.16,,10736.98
2016-08-21,ELECTRIC COMPANY,133.54,,10603.44
2016-08-22,GAS UTILITY,112.76,,10490.68
2016-08-22,WALGREENS,103.11,,10387.57
2016-08-23,COMCAST CABLE,48.50,,10339.07
2016-08-23,AMAZON.COM,216.88,,10122.19
2016-08-24,MCDONALD'S,44.93,,10077.26
2016-08-24,EZ PASS TOLL,12.49,,10064.77
2016-08-25,DOORDASH*RESTAURANT,68.22,,9996.55
2016-08-26,TRADER JOE'S,22.33,,9974.22
2016-08-26,LOCAL BISTRO,15.16,,9959.06
2016-08-27,NETFLIX.COM,25.29,,9933.77
2016-08-27,DISNEYPLUS,39.66,,9894.11
2016-08-29,SHELL OIL,49.25,,9844.86
2016-08-30,DENTAL CARE,196.12,,9648.74
2016-08-31,ALDI 729,83.41,,9565.33
2016-09-01,CHEVRON,30.39,,9534.94
2016-09-02,ACH CREDIT EMPLOYER PAYROLL,,5268.48,14803.42
2016-09-02,KROGER #1190,149.22,,14654.20
2016-09-03,BILL PAY RENT LANDLORD,1365.06,,13289.14
2016-09-03,STEAM GAMES,63.33,,13225.81
2016-09-05,PIZZA HUT,54.56,,13171.25
2016-09-06,COMCAST CABLE,155.63,,13015.62
2016-09-06,MCDONALD'S,61.34,,12954.28
2016-09-07,GAS UTILITY,75.31,,12878.97
2016-09-07,SUSHI HOUSE,9.80,,12869.17
2016-09-07,STEAM GAMES,37.44,,12831.73
2016-09-09,METRO TRANSIT,4.91,,12826.82
2016-09-09,METRO TRANSIT,68.70,,12758.12
2016-09-10,ACH CREDIT FREELANCE,,240.92,12999.04
2016-09-10,WALMART SUPERCENTER,148.34,,12850.70
2016-09-11,WALGREENS,38.76,,12811.94
2016-09-12,TRADER JOE'S,85.50,,12726.44
2016-09-12,WHOLE FOODS #4821,56.11,,12670.33
2016-09-12,LOCAL BISTRO,59.06,,12611.27
2016-09-12,AMAZON MKTP,193.25,,12418.02
2016-09-13,HOME DEPOT,44.62,,12373.40
2016-09-13,CITY MEDICAL CLINIC,27.36,,12346.04
2016-09-14,COSTCO WHSE,30.71,,12315.33
2016-09-14,DOORDASH*RESTAURANT,14.07,,12301.26
2016-09-15,SUSHI HOUSE,41.71,,12259.55
2016-09-16,TRADER JOE'S,61.93,,12197.62
2016-09-17,GAS UTILITY,89.06,,12108.56
2016-09-17,DISNEYPLUS,14.95,,12093.61
2016-09-18,VERIZON WIRELESS,80.93,,12012.68
2016-09-18,WHOLE FOODS #4821,40.23,,11972.45
2016-09-18,UBER EATS,33.68,,11938.77
2016-09-18,IKEA,255.11,,11683.66
2016-09-22,UBER TRIP,65.13,,11618.53
2016-09-22,METRO TRANSIT,46.76,,11571.77
2016-09-23,METRO TRANSIT,35.43,,11536.34
2016-09-25,CHEVRON,69.99,,11466.35
2016-09-26,TARGET.COM,22.70,,11443.65
2016-09-27,WHOLE FOODS #4821,132.69,,11310.96
2016-09-27,CHIPOTLE ONLINE,10.81,,11300.15
2016-09-27,UBER TRIP,57.95,,11242.20
2016-09-28,APPLE.COM/BILL,243.27,,10998.93
2016-09-28,AMC THEATRES,19.72,,10979.21
2016-09-28,ATM WITHDRAWAL,239.45,,10739.76
2016-09-29,TARGET.COM,29.79,,10709.97
2016-09-29,DISNEYPLUS,63.22,,10646.75
2016-09-30,UBER EATS,10.72,,10636.03
2016-10-01,ACH CREDIT EMPLOYER PAYROLL,,5343.79,15979.82
2016-10-01,SPOTIFY USA,41.60,,15938.22
2016-10-02,VENMO PAYMENT,65.34,,15872.88
2016-10-03,BILL PAY RENT LANDLORD,1349.15,,14523.73
2016-10-04,UBER EATS,84.24,,14439.49
2016-10-04,CHIPOTLE ONLINE,41.79,,14397.70
2016-10-05,CITY WATER BILL,156.66,,14241.04
2016-10-06,COSTCO WHSE,29.73,,14211.31
2016-10-06,HOME DEPOT,13.27,,14198.04
2016-10-07,PLANET FITNESS,29.32,,14168.72
2016-10-08,PARKING GARAGE,50.01,,14118.71
2016-10-09,COSTCO WHSE,110.84,,14007.87
2016-10-10,CHEVRON,4.70,,14003.17
2016-10-11,IKEA,247.96,,13755.21
2016-10-12,LOCAL BISTRO,25.07,,13730.14
2016-10-13,STARBUCKS STORE,8.83,,13721.31
2016-10-13,PARKING GARAGE,22.87,,13698.44
2016-10-14,VERIZON WIRELESS,176.26,,13522.18
2016-10-14,WALMART SUPERCENTER,25.77,,13496.41
2016-10-14,UBER EATS,47.12,,13449.29
2016-10-14,METRO TRANSIT,30.19,,13419.10
2016-10-15,ALDI 729,120.21,,13298.89
2016-10-16,WHOLE FOODS #4821,23.51,,13275.38
2016-10-16,PARKING GARAGE,29.69,,13245.69
2016-10-19,HOME DEPOT,149.72,,13095.97
2016-10-20,SUSHI HOUSE,54.86,,13041.11
2016-10-20,AMAZON.COM,162.82,,12878.29
2016-10-20,CVS/PHARMACY,58.70,,12819.59
2016-10-22,LYFT RIDE,8.20,,12811.39
2016-10-23,LOCAL BISTRO,73.90,,12737.49
2016-10-23,UBER TRIP,46.09,,12691.40
2016-10-24,DISNEYPLUS,43.24,,12648.16
2016-10-25,COMCAST CABLE,181.37,,12466.79
2016-10-25,COMCAST CABLE,184.80,,12281.99
2016-10-26,WHOLE FOODS #4821,123.08,,12158.91
2016-10-27,WHOLE FOODS #4821,113.57,,12045.34
2016-10-27,PARKING GARAGE,9.16,,12036.18
2016-10-28,SUSHI HOUSE,43.73,,11992.45
2016-10-28,CHEVRON,54.31,,11938.14
2016-10-28,SPOTIFY USA,37.15,,11900.99
2016-10-31,FRESH MARKET,94.32,,11806.67
2016-11-01,TRADER JOE'S,75.43,,11731.24
2016-11-01,ALDI 729,35.74,,11695.50
2016-11-02,EZ PASS TOLL,70.17,,11625.33
2016-11-02,HOME DEPOT,49.43,,11575.90
2016-11-03,ACH CREDIT EMPLOYER PAYROLL,,5160.92,16736.82
2016-11-03,BILL PAY RENT LANDLORD,1344.83,,15391.99
