Trans Date,Remarks,Debit,Credit,Balance
26-Jul-2016,VENMO PAYMENT,133.73,,8366.27
28-Jul-2016,UBER TRIP,32.50,,8333.77
29-Jul-2016,EZ PASS TOLL,46.89,,8286.88
31-Jul-2016,STARBUCKS STORE,50.04,,8236.84
31-Jul-2016,AMAZON MKTP,60.54,,8176.30
2-Aug-2016,ACH CREDIT EMPLOYER PAYROLL,,5261.87,13438.17
3-Aug-2016,BILL PAY RENT LANDLORD,1342.34,,12095.83
5-Aug-2016,SHELL OIL,7.25,,12088.58
7-Aug-2016,LOCAL BISTRO,24.01,,12064.57
8-Aug-2016,ALDI 729,118.16,,11946.41
8-Aug-2016,PIZZA HUT,33.63,,11912.78
9-Aug-2016,CHEVRON,64.42,,11848.36
9-Aug-2016,PARKING GARAGE,20.04,,11828.32
10-Aug-2016,NETFLIX.COM,43.44,,11784.88
11-Aug-2016,WALMART SUPERCENTER,134.44,,11650.44
11-Aug-2016,ZELLE TO FRIEND,84.84,,11565.60
13-Aug-2016,KROGER #1190,133.23,,11432.37
13-Aug-2016,WALMART SUPERCENTER,112.27,,11320.10
15-Aug-2016,IKEA,140.08,,11180.02
16-Aug-2016,ELECTRIC COMPANY,39.41,,11140.61
16-Aug-2016,TRADER JOE'S,38.15,,11102.46
17-Aug-2016,PIZZA HUT,53.64,,11048.82
17-Aug-2016,PIZZA HUT,38.81,,11010.01
17-Aug-2016,SHELL OIL,34.22,,10975.79
17-Aug-2016,UBER TRIP,46.21,,10929.58
17-Aug-2016,STEAM GAMES,63.45,,10866.13
17-Aug-2016,HOTEL BOOKING,846.32,,10019.81
18-Aug-2016,ZELLE FROM CLIENT,,954.31,10974.12
18-Aug-2016,METRO TRANSIT,13.90,,10960.22
19-Aug-2016,CHEVRON,7.08,,10953.14
20-Aug-2016,AMAZON MKTP,216.16,,10736.98
21-Aug-2016,ELECTRIC COMPANY,133.54,,10603.44
22-Aug-2016,GAS UTILITY,112.76,,10490.68
22-Aug-2016,WALGREENS,103.11,,10387.57
23-Aug-2016,COMCAST CABLE,48.50,,10339.07
23-Aug-2016,AMAZON.COM,216.88,,10122.19
24-Aug-2016,MCDONALD'S,44.93,,10077.26
24-Aug-2016,EZ PASS TOLL,12.49,,10064.77
25-Aug-2016,DOORDASH*RESTAURANT,68.22,,9996.55
26-Aug-2016,TRADER JOE'S,22.33,,9974.22
26-Aug-2016,LOCAL BISTRO,15.16,,9959.06
27-Aug-2016,NETFLIX.COM,25.29,,9933.77
27-Aug-2016,DISNEYPLUS,39.66,,9894.11
29-Aug-2016,SHELL OIL,49.25,,9844.86
30-Aug-2016,DENTAL CARE,196.12,,9648.74
31-Aug-2016,ALDI 729,83.41,,9565.33
1-Sep-2016,CHEVRON,30.39,,9534.94
2-Sep-2016,ACH CREDIT EMPLOYER PAYROLL,,5268.48,14803.42
2-Sep-2016,KROGER #1190,149.22,,14654.20
3-Sep-2016,BILL PAY RENT LANDLORD,1365.06,,13289.14
3-Sep-2016,STEAM GAMES,63.33,,13225.81
5-Sep-2016,PIZZA HUT,54.56,,13171.25
6-Sep-2016,COMCAST CABLE,155.63,,13015.62
6-Sep-2016,MCDONALD'S,61.34,,12954.28
7-Sep-2016,GAS UTILITY,75.31,,12878.97
7-Sep-2016,SUSHI HOUSE,9.80,,12869.17
7-Sep-2016,STEAM GAMES,37.44,,12831.73
9-Sep-2016,METRO TRANSIT,4.91,,12826.82
9-Sep-2016,METRO TRANSIT,68.70,,12758.12
10-Sep-2016,ACH CREDIT FREELANCE,,240.92,12999.04
10-Sep-2016,WALMART SUPERCENTER,148.34,,12850.70
11-Sep-2016,WALGREENS,38.76,,12811.94
12-Sep-2016,TRADER JOE'S,85.50,,12726.44
12-Sep-2016,WHOLE FOODS #4821,56.11,,12670.33
12-Sep-2016,LOCAL BISTRO,59.06,,12611.27
12-Sep-2016,AMAZON MKTP,193.25,,12418.02
13-Sep-2016,HOME DEPOT,44.62,,12373.40
13-Sep-2016,CITY MEDICAL CLINIC,27.36,,12346.04
14-Sep-2016,COSTCO WHSE,30.71,,12315.33
14-Sep-2016,DOORDASH*RESTAURANT,14.07,,12301.26
15-Sep-2016,SUSHI HOUSE,41.71,,12259.55
16-Sep-2016,TRADER JOE'S,61.93,,12197.62
17-Sep-2016,GAS UTILITY,89.06,,12108.56
17-Sep-2016,DISNEYPLUS,14.95,,12093.61
18-Sep-2016,VERIZON WIRELESS,80.93,,12012.68
